match_id,season,section,home,away,home_score,away_score,venue,date,home_form,home_attack,home_defence,home_rest_days,home_changed_continent,away_form,away_attack,away_defence,away_rest_days,away_changed_continent,elo_home,elo_away,elo_diff,form_diff,rest_diff,cross_continent,altitude,playoff,margin,home_win
58,2021-22,Round 11,Ospreys,Edinburgh,23,19,Liberty Stadium,2022-01-29,-7.2,18.6,25.8,21.0,0,15.6,26.4,10.8,21.0,0,-2.1925099140000004,4.61715024,-6.809660154,-22.8,0.0,0,0,0,4,1
59,2021-22,Round 11,Zebre,Munster,17,34,Stadio Sergio Lanfranchi,2022-01-29,-24.4,8.0,32.4,30.0,0,5.4,19.8,14.4,21.0,0,-11.88254536,4.434195665999999,-16.316741026,-29.799999999999997,9.0,0,0,0,-17,0
60,2021-22,Round 11,Sharks,Stormers,22,22,Kings Park Stadium,2022-01-29,4.2,29.0,24.8,7.0,0,-3.2,22.2,25.4,7.0,0,2.328954,0.2756740000000001,2.05328,7.4,0.0,0,0,0,0,0
61,2021-22,Round 11,Cardiff,Leinster,29,27,Cardiff Arms Park,2022-01-29,-6.0,19.4,25.4,21.0,0,21.0,36.2,15.2,30.0,0,-2.8551966400000004,7.7223566,-10.57755324,-27.0,-9.0,0,0,0,2,1
62,2021-22,Round 11,Connacht,Glasgow,20,42,Galway Sportsgrounds,2022-01-29,5.0,25.8,20.8,28.0,0,6.4,24.2,17.8,21.0,0,2.28653926,1.841025654,0.445513606,-1.4000000000000004,7.0,0,0,0,-22,0
63,2021-22,Round 11,Lions,Bulls,10,34,Ellis Park Stadium,2022-01-29,-7.0,21.2,28.2,7.0,0,-8.4,17.6,26.0,7.0,0,0.4842660000000003,-3.377494,3.8617600000000003,1.4000000000000004,0.0,0,0,0,-24,0
64,2021-22,Round 8,Ulster,Connacht,32,12,Ravenhill Stadium,2022-02-04,-2.8,16.8,19.6,7.0,0,1.0,26.2,25.2,6.0,0,4.0683701326,-0.5580121006000001,4.6263822332,-3.8,1.0,0,0,0,20,1
65,2021-22,Round 9,Stormers,Sharks,20,10,Cape Town Stadium,2022-02-05,0.0,23.0,23.0,7.0,0,6.4,28.6,22.2,7.0,0,1.081002,1.523626,-0.4426239999999999,-6.4,0.0,0,0,0,10,1
66,2021-22,Round 9,Bulls,Lions,21,13,Loftus Versfeld Stadium,2022-02-05,1.8,23.0,21.2,7.0,0,-7.2,20.6,27.8,7.0,0,0.0086820000000007,-2.9019100000000004,2.910592000000001,9.0,0.0,0,0,0,8,1
67,2021-22,Round 8,Glasgow,Munster,13,11,Scotstoun Stadium,2022-02-11,8.6,29.2,20.6,13.0,0,2.8,18.0,15.2,13.0,0,4.6855770146,5.102521563399999,-0.4169445487999992,5.8,0.0,0,0,0,2,1
68,2021-22,Round 8,Leinster,Edinburgh,26,7,RDS Arena,2022-02-11,13.4,33.0,19.6,13.0,0,13.4,26.8,13.4,13.0,0,7.064601276,4.1361842246,2.9284170514000003,0.0,0.0,0,0,0,19,1
69,2021-22,Round 12,Lions,Stormers,10,32,Ellis Park Stadium,2022-02-12,-8.0,21.4,29.4,7.0,0,2.0,23.0,21.0,7.0,0,-2.8108508000000003,1.5252644000000002,-4.3361152,-10.0,0.0,0,1,0,-22,0
70,2021-22,Round 12,Bulls,Sharks,22,29,Loftus Versfeld Stadium,2022-02-12,1.4,21.4,20.0,7.0,0,1.6,25.2,23.6,7.0,0,-0.0823771999999993,1.0793636000000002,-1.1617407999999996,-0.20000000000000018,0.0,0,1,0,-7,0
